subject,activity,tbodyaccmeanx,tbodyaccmeany,tbodyaccmeanz,tgravityaccmeanx,tgravityaccmeany,tgravityaccmeanz,tbodyaccjerkmeanx,tbodyaccjerkmeany,tbodyaccjerkmeanz,tbodygyromeanx,tbodygyromeany,tbodygyromeanz,tbodygyrojerkmeanx,tbodygyrojerkmeany,tbodygyrojerkmeanz,tbodyaccmagmean,tgravityaccmagmean,tbodyaccjerkmagmean,tbodygyromagmean,tbodygyrojerkmagmean,fbodyaccmeanx,fbodyaccmeany,fbodyaccmeanz,fbodyaccjerkmeanx,fbodyaccjerkmeany,fbodyaccjerkmeanz,fbodygyromeanx,fbodygyromeany,fbodygyromeanz,fbodyaccmagmean,fbodybodyaccjerkmagmean,fbodybodygyromagmean,fbodybodygyrojerkmagmean,tbodyaccstdx,tbodyaccstdy,tbodyaccstdz,tgravityaccstdx,tgravityaccstdy,tgravityaccstdz,tbodyaccjerkstdx,tbodyaccjerkstdy,tbodyaccjerkstdz,tbodygyrostdx,tbodygyrostdy,tbodygyrostdz,tbodygyrojerkstdx,tbodygyrojerkstdy,tbodygyrojerkstdz,tbodyaccmagstd,tgravityaccmagstd,tbodyaccjerkmagstd,tbodygyromagstd,tbodygyrojerkmagstd,fbodyaccstdx,fbodyaccstdy,fbodyaccstdz,fbodyaccjerkstdx,fbodyaccjerkstdy,fbodyaccjerkstdz,fbodygyrostdx,fbodygyrostdy,fbodygyrostdz,fbodyaccmagstd,fbodybodyaccjerkmagstd,fbodybodygyromagstd,fbodybodygyrojerkmagstd
1,LAYING,0.2725749006557377,-0.016317753212131147,-0.10716008826229508,-0.22560374922950818,-0.08579423737704918,0.8969782316393443,0.07920769216393443,0.015201049798032787,-0.0031896253923770494,-0.012198113786885246,-0.1089004497704918,0.09001954847540984,-0.10330058862295081,-0.03612745783278688,-0.056386967245901636,-0.9618341929508196,-0.9618341929508196,-0.9881802121311475,-0.9538482695081967,-0.990505326557377,-0.979040897704918,-0.9657196826229508,-0.9755128326229509,-0.988091066557377,-0.9848552259016393,-0.9855100003278688,-0.97517484,-0.9764004086885246,-0.9873980209836065,-0.968843978852459,-0.987348043442623,-0.9708790467213114,-0.9882506572131148,-0.9719894359016393,-0.9455760103278689,-0.9667675996721311,-0.9621043821311476,-0.968871901147541,-0.97038079,-0.9879830955737705,-0.9849185544262296,-0.9875731932786885,-0.9763984698360656,-0.9710111059016393,-0.9866966829508197,-0.9855790467213115,-0.9885710644262296,-0.9943362772131148,-0.9587584514754098,-0.9587584514754098,-0.9877043659016393,-0.9601124370491804,-0.98781231,-0.9695230516393443,-0.9396760408196722,-0.9638386716393442,-0.9889633170491803,-0.9861996765573771,-0.9882313291803279,-0.9769403119672131,-0.9683921927868853,-0.9876228655737705,-0.9588122198360656,-0.9870607631147541,-0.9601279296721311,-0.9877567455737705
1,SITTING,0.2768756928846154,-0.014522052155769231,-0.1044127165,0.9380225540384616,-0.07857364094230769,0.14516109246153847,0.07574939575,0.00915676220903846,-0.006110801355576923,-0.036884869676923074,-0.0659106753076923,0.09098948225384615,-0.09532013207692308,-0.040108226854230766,-0.05545342858461538,-0.9828647753846154,-0.9828647753846154,-0.9913207057692308,-0.9714670713461538,-0.9959423332692308,-0.9936349823076923,-0.9783078684615385,-0.9810432725,-0.9939621267307692,-0.9867166182692307,-0.9869973505769231,-0.9877915690384615,-0.9866477136538462,-0.9868020888461538,-0.9824567426923076,-0.9902434767307693,-0.9819283153846153,-0.9945625184615384,-0.9940835353846154,-0.9751169963461539,-0.9761555317307692,-0.9915470869230769,-0.9806294176923077,-0.9750233140384615,-0.9938825509615384,-0.9869687001923076,-0.9889516384615384,-0.9905861415384615,-0.9831526271153846,-0.9884141642307692,-0.9938422119230769,-0.9947459775,-0.9941340675,-0.9784599090384616,-0.9784599090384616,-0.9908906963461538,-0.9758432071153846,-0.9942732903846154,-0.9943102796153847,-0.97463778,-0.9745512840384616,-0.9943415038461538,-0.9882781430769231,-0.9895181590384615,-0.9915721582692307,-0.9815040732692307,-0.9902086953846154,-0.9792055659615385,-0.9905988186538461,-0.9762982292307693,-0.9939891667307692
1,STANDING,0.27897126152941176,-0.017625064779058824,-0.1076845485882353,0.9238774518823529,-0.06909431307058823,-0.2175459147882353,0.07483021136470588,0.012510228429164705,-8.431893267058824e-4,-0.027712437408235292,-0.06938131927882353,0.08837550631764705,-0.10051704842352942,-0.04167888925882353,-0.0549623602,-0.9742776509411765,-0.9742776509411765,-0.9893238534117648,-0.9703739765882353,-0.9922711383529412,-0.9903598069411764,-0.9683873682352941,-0.9755065797647059,-0.9905723154117647,-0.9818956375294118,-0.9868312662352942,-0.9724071137647059,-0.9823954942352942,-0.9825365021176471,-0.9750648389411765,-0.9867246763529411,-0.9754158774117647,-0.9903898841176471,-0.9911066727058824,-0.9601463083529411,-0.9632744285882353,-0.9894695418823529,-0.9793218676470589,-0.9700739168235294,-0.9905559385882353,-0.9821910731764706,-0.9888012963529412,-0.9722020944705883,-0.9784878156470588,-0.980824576,-0.9868418115294117,-0.9917054675294118,-0.9916302124705882,-0.965254166117647,-0.965254166117647,-0.9868713864705883,-0.9633452757647059,-0.9898673511764706,-0.9914696392941177,-0.9581260196470588,-0.9594204757647059,-0.9914220223529412,-0.9839605375294118,-0.9893686442352941,-0.972594753882353,-0.9765359868235294,-0.9819513317647058,-0.9652064142352941,-0.9858753630588235,-0.9623975190588235,-0.9896140915294117
1,WALKING,0.2760235645098039,-0.02042869294529412,-0.10880404980392157,0.9259813260784314,-0.0668246472745098,-0.2173511943137255,0.07702237717647059,0.00968444678235294,0.003608032823529414,-0.015172191279215687,-0.06959556896078431,0.08186507356862745,-0.11091734828235295,-0.04338768431764706,-0.05329866707058824,-0.2587666941176471,-0.2587666941176471,-0.36314448352941175,-0.48593193274509805,-0.671541834117647,-0.3947904335294118,-0.32150066784313724,-0.24436304823529412,-0.4414061825490196,-0.45427082215686276,-0.42233239411764706,-0.5957464862745098,-0.6197319303921569,-0.4328853109803922,-0.4104632419607843,-0.3782784905882353,-0.6692285407843137,-0.72068229,-0.4046925239215686,-0.31456976235294115,-0.15979979023529411,-0.9824695954901961,-0.9737848419607843,-0.9613872543137255,-0.39622373843137254,-0.425563858627451,-0.44025821745098037,-0.6541718470588235,-0.6125936341176471,-0.3654895305882353,-0.6758897227450981,-0.7122377529411765,-0.5712647794117647,-0.4718092674509804,-0.4718092674509804,-0.40338656392156863,-0.6650784043137254,-0.7228084384313725,-0.4090704880392157,-0.354370678627451,-0.18050131794117646,-0.40288411509803923,-0.43361265784313724,-0.4566362825490196,-0.6737411368627451,-0.6119408774509804,-0.40321979137254904,-0.5921509850980392,-0.44144775450980395,-0.7211370015686275,-0.7457268539215687
1,WALKING_DOWNSTAIRS,0.29558680219148936,-0.018389858378723405,-0.11987370514893617,0.9178184270212766,-0.05848326763829787,-0.22538249638297872,0.09078570642553191,-0.014811453027659576,-0.02931225629361702,-0.022537336997872342,-0.06826479270638297,0.0835380057,-0.10390404454361703,-0.05676866297531915,-0.061213693292978724,0.1910797935874468,0.1910797935874468,-0.16590881080851064,-0.3098204272340426,-0.5908966363829787,0.03682635282765957,-0.1345983527268085,-0.04769426376,-0.15544488276595744,-0.2899578554893617,-0.2419740800212766,-0.4208440086255319,-0.47951298361702127,-0.3750006255319149,0.11403208854680852,-0.07456590822234042,-0.48825393957446805,-0.58966315,0.20725199792978724,-0.14699383765531915,0.011435394478723404,-0.9577851180851064,-0.9554877936170213,-0.9105889431914893,-0.10118692659574469,-0.2616847524255319,-0.3033815828319149,-0.4541884710638298,-0.528329304680851,-0.44463633489361704,-0.6236760242553191,-0.583421784680851,-0.5406334693617021,0.11918374063829787,0.11918374063829787,-0.07834988755957446,-0.42231531680851064,-0.5958222144680851,0.2661154920982979,-0.20868058788297872,-0.037971623978723404,-0.12568281809319148,-0.28150740694893617,-0.36402669587234043,-0.4703734985106383,-0.5652140327659575,-0.5211008187234043,-0.05341371791702128,-0.09196233680212766,-0.47993984591489364,-0.6334798046808511
1,WALKING_UPSTAIRS,0.255986102627451,-0.014365494501176471,-0.12407451774509803,0.826874282745098,-0.0805926025490196,-0.3790596980392157,0.0762526677,0.01737293333529412,0.0380533591627451,0.07184088780784313,-0.048613678970588235,-0.0077928802176470595,-0.14090829361392157,-0.029621129855882354,-0.03541630005490196,-0.23399033156862745,-0.23399033156862745,-0.48321905,-0.3082605680392157,-0.7377051621568628,-0.47498401470588236,-0.26806381274509805,-0.3358530411764706,-0.5460888629411764,-0.46860520529411764,-0.5652208405882353,-0.5323997162745098,-0.6420180641176471,-0.4924274935294118,-0.3706497382352941,-0.47559771784313726,-0.630546675490196,-0.7878336323529411,-0.3970838315686275,-0.16373274507843139,-0.12928382572156863,-0.9484135527450981,-0.9336574611764706,-0.9076495588235294,-0.5210891401960784,-0.42562593725490194,-0.5934111296078431,-0.5080871666666666,-0.5863828937254902,-0.3650251700784314,-0.707264168627451,-0.7747190662745098,-0.7171010219607843,-0.33479508019607845,-0.33479508019607845,-0.49306712960784316,-0.5181896464705882,-0.7972932284313725,-0.36963614098039216,-0.16632423911764704,-0.09456123314509804,-0.5380730901960784,-0.4171270123529412,-0.6201235864705882,-0.509896031372549,-0.5596005984313726,-0.3873094899019608,-0.41892425607843137,-0.51993124,-0.5324867215686274,-0.8253143270588236
2,LAYING,0.22159824394,-0.0405139534294,-0.11320355358,-0.24888179828,0.70554977346,0.4458177198,0.0810865342,0.0038382040088000002,0.010834236361,-0.016553093978,-0.064486124088,0.14868943626,-0.107270949192,-0.04151728689,-0.0740501211,-0.8419291525,-0.8419291525,-0.9543962646,-0.874759548,-0.96346103,-0.9390990524,-0.86706520518,-0.8826668762000001,-0.9570738838,-0.9224626097999999,-0.9480609042,-0.850249174586,-0.9521914948,-0.909302721,-0.8617676481,-0.9333003608,-0.8621901854,-0.9423669466,-0.9280564692,-0.83682740562,-0.826061401628,-0.8968300184,-0.90772000676,-0.85236629022,-0.958482112,-0.9241492736,-0.9548551108,-0.87354386782,-0.9510904402,-0.9082846626,-0.9186085208,-0.9679072436,-0.9577901596,-0.79514486386,-0.79514486386,-0.9282456284,-0.81901016976,-0.9358409827999999,-0.9244374346,-0.8336255561,-0.81289155944,-0.9641607086,-0.9322178704,-0.9605869872,-0.8822964508,-0.9512320494,-0.9165825082,-0.7983009404,-0.9218039756,-0.82431943968,-0.9326606676
2,SITTING,0.2612375654255319,-0.001308287651702128,-0.10454418225531915,0.8315099334042553,0.20441159268085107,0.33204370276595746,0.0774825199574468,-6.191027851063836e-4,-0.0033677923502127664,-0.04535005651276596,-0.0919241549361702,0.06293138119148936,-0.09367938072340426,-0.040211812425531915,-0.046702627,-0.9485367861702128,-0.9485367861702128,-0.9873641955319149,-0.93089249,-0.9919763412765957,-0.9796412387234043,-0.944084550425532,-0.9591848891489362,-0.9865970225531915,-0.9815794670212766,-0.9860530923404255,-0.9761614640425532,-0.9758385853191489,-0.9513155444680851,-0.9477829225531915,-0.9852621268085107,-0.9584355893617021,-0.9897975472340426,-0.9772290082978723,-0.9226186419148936,-0.9395862910638297,-0.9684571457446809,-0.9355170559574468,-0.9490409331914894,-0.9864307112765958,-0.9813719653191489,-0.9879108044680851,-0.9772112831914893,-0.966473895319149,-0.9414259208510638,-0.9917315921276596,-0.9895180685106383,-0.9879358063829787,-0.9270784187234042,-0.9270784187234042,-0.9841200240425532,-0.934531840425532,-0.9883087285106383,-0.9764123131914894,-0.9172750063829788,-0.9344695580851063,-0.9874929944680851,-0.982513909574468,-0.988339184893617,-0.9779042270212766,-0.9623450425531915,-0.9439178410638298,-0.9284448017021276,-0.9816061774468084,-0.932198374893617,-0.9870496172340426
2,STANDING,0.2789176290566038,-0.016137590103773584,-0.11060181773584905,0.9429520003773585,-0.27298383226415096,0.01349058232264151,0.0753766542264151,0.007975730928301887,-0.0036852495470943397,-0.02398773479792453,-0.05939722098113208,0.074800751,-0.09960921290566038,-0.04406278779245283,-0.04895054667169811,-0.9842782073584906,-0.9842782073584906,-0.9923677905660377,-0.9764937928301887,-0.9949667905660378,-0.9952499326415094,-0.9770708477358491,-0.9852970986792453,-0.9946307973584906,-0.9854187045283019,-0.9907521660377359,-0.9863867860377359,-0.9889844558490566,-0.9807731228301887,-0.9853563611320755,-0.9925424775471698,-0.9846176233962264,-0.9948153769811321,-0.9957599015094339,-0.9731900564150944,-0.9797758769811321,-0.9937629850943396,-0.9812259579245283,-0.9763240635849056,-0.994604542264151,-0.9856487324528302,-0.9922511773584906,-0.9871919466037736,-0.98773444,-0.9806456269811321,-0.992945106981132,-0.9951379173584906,-0.9921084671698113,-0.9819429288679246,-0.9819429288679246,-0.9930962094339623,-0.9786900286792453,-0.9947332386792452,-0.9960283450943396,-0.9722931020754717,-0.9779372596226416,-0.9950737592452831,-0.9870182267924529,-0.9923498181132075,-0.9874971286792453,-0.9871077277358491,-0.98234533,-0.9823138047169812,-0.9925360033962264,-0.9784660720754716,-0.9946711232075471
2,WALKING,0.2773307587368421,-0.017383818527368422,-0.11114810354736843,0.9352232014736842,-0.2821650212631579,-0.068102864,0.07404163331578947,0.02827210958842105,-0.004168406177894738,-0.041830963526,-0.06953004621157895,0.08494481730421052,-0.08999754237052632,-0.03984287094631579,-0.04613092950210526,-0.1369711765568421,-0.1369711765568421,-0.14142880903157895,-0.1609795525368421,-0.2987036790842105,-0.2027943063263158,0.08971272640210526,-0.3315601177894737,-0.17054696454957893,-0.03522552411306316,-0.46899922463157895,-0.33903219711578947,-0.10305941643473684,-0.25594094031578946,-0.1286234506294737,-0.05711940003431579,-0.1992525689863158,-0.3193085937789474,-0.28374025884210524,0.11446133674736843,-0.2600279022105263,-0.9766096425263158,-0.9713059614736842,-0.9477172261052632,-0.11361560243578947,0.06700250076842106,-0.5026997885263158,-0.4735354858947368,-0.054607768659473685,-0.3442666294736842,-0.20742185475789474,-0.3044685106315789,-0.40425545263157897,-0.21968864563157894,-0.21968864563157894,-0.07447175006252632,-0.18697836452631578,-0.3253248788947368,-0.31913471957894735,0.056040006846,-0.2796867514947368,-0.13358660632631578,0.106739857136,-0.5347134404210526,-0.5166919387368422,-0.03350815978842105,-0.43656222747368423,-0.39803258684210524,-0.10349240300210526,-0.32101795389473686,-0.38160191178947367
